covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
vc_backed_binary,-0.45140962878578206,0.636729965827626,0.029469659706635946,-0.5091691004474397,-0.3936501571241244,0.6009947376667318,0.6745900154747597,0.0,-15.31777540967445,5.817469720250567e-53,173.52179723256296
post_2008,0.6746359624288314,1.9633181242999074,0.02963943064899175,0.616543745834535,0.7327281790231278,1.8525142043694685,2.0807495284585333,0.0,22.761434604405284,1.1056882788906283e-114,378.5548581059864
sector_Consumer,1.0335013942023235,2.810890660629797,0.30428632672809186,0.43711115282727575,1.6298916355773712,1.5482281574295191,5.103321670065611,0.0,3.396476618963734,0.0006825938867449622,10.516684885713639
sector_FinTech,0.048738445317299234,1.0499456966095273,0.1726901772810894,-0.28972808263747307,0.3872049732720715,0.7484670610997932,1.472858356931601,0.0,0.28223055928634094,0.7777667274470174,0.36259057671838785
sector_Healthcare,-0.3596350349540509,0.69793100001415,0.21928188769775833,-0.789419637303614,0.07014956739551215,0.4541082663184719,1.0726686055063719,0.0,-1.6400580947649668,0.10099308833282328,3.3076715322980133
sector_Other,0.49368332223244826,1.638339652891028,0.1111651130230142,0.2758037043700159,0.7115629400948806,1.3175892016385897,2.037172750730655,0.0,4.440991501805449,8.954533154626546e-06,16.768950350185158
sector_SaaS,0.10565099127072887,1.111433908672254,0.13772660497315256,-0.16428819418962526,0.37559017673108297,0.8484974546041368,1.4558503701378833,0.0,0.7671066261404158,0.44301812262092133,1.1745623783180028
geography_UK,-0.5009520249993521,0.6059535021395248,0.35859084660864604,-1.2037771695380253,0.20187311953932108,0.3000586961776931,1.2236927355630225,0.0,-1.3970017074810452,0.16241305765686104,2.6222604681555115
geography_US,0.17195526160640043,1.187624699604099,0.09882533876581237,-0.02173884313456184,0.36564936634736267,0.9784957425669603,1.4414497332503282,0.0,1.7399916231391317,0.08186048887927146,3.6106889070446133
geography_Unknown,1.3925487964708623,4.025096140689535,0.12138219588497835,1.1546440641719187,1.6304535287698059,3.172893869909292,5.106189997542201,0.0,11.472430419618048,1.81489230331137e-30,98.7979589061621
team_size_category_Medium (6-20),-0.3140427474632419,0.730487800991567,0.1175558221129559,-0.5444479249776327,-0.08363756994885105,0.5801619878856862,0.9197645460057905,0.0,-2.671435083508561,0.007552767985952784,7.048778815355213
team_size_category_Small (1-5),-0.5785972287518539,0.5606843270283915,0.12319539555699029,-0.8200557671047207,-0.33713869039898714,0.440407093592652,0.7138098344665841,0.0,-4.696581606284095,2.6455156838852406e-06,18.528019598565734
team_size_category_Unknown,1.1081974481964272,3.0288937328865098,0.12044153306690725,0.8721363811424989,1.3442585152503554,2.392015655820674,3.8353416386698402,0.0,9.2011237318011,3.5422569818605055e-20,64.61389301795356
team_size_category_Very Large (50+),-0.15131135897363515,0.8595800190366572,0.13171550487365277,-0.4094690047315045,0.10684628678423422,0.6640027388557165,1.1127631949235277,0.0,-1.1487740879008859,0.2506491467594501,1.9962587718702578
