Variable,HR,CI_lower,CI_upper,p_value
vc_backed_binary,0.22266064165946042,0.2104641294354895,0.23556394848462286,0.0
post_2008,0.5714639414483351,0.5393836996214191,0.6054521792276608,2.3589298548623137e-80
sector_Consumer,4.663006766504651,2.450635890923456,8.87264900714184,2.719689211567299e-06
sector_FinTech,1.3915683410825173,0.8922474743936274,2.1703198983210026,0.1450593198126337
sector_Healthcare,0.8419278795126214,0.47831825040159576,1.4819475395418744,0.5508795940193522
sector_Other,18.434477909896373,13.552883329792833,25.074367390400308,5.859998656049569e-77
sector_SaaS,1.5224115617511584,1.0403971290709617,2.227742559635146,0.030472516957731392
geography_UK,0.8985077655255073,0.3566562666327203,2.2635693810505875,0.8204073385503557
geography_US,2.2919583945893254,1.671977281321769,3.141832931112377,2.546996350434782e-07
geography_Unknown,33.51780312359874,24.982041416377164,44.97002897032441,2.657474390367496e-121
team_size_category_Medium (6-20),0.8561552217731851,0.6205768141164038,1.1811620207132005,0.3441960596983834
team_size_category_Small (1-5),0.6644980291251743,0.4701656233741176,0.9391533722572637,0.020576457013767795
team_size_category_Unknown,15.445579993124483,11.919023040941289,20.01556172049877,3.46974490759061e-95
team_size_category_Very Large (50+),1.0656092078046722,0.7624855323932141,1.4892387271848082,0.7098123062174659
